x;15;3022;black;PART;Plate 2 x 2
 ;30;15403;black;PART;Plate, Modified 1 x 2 with Mini Blaster / Shooter
 ;30;15403c01;black;PART;Plate, Modified 1 x 2 with Mini Blaster / Shooter with Dark Bluish Gray Trigger - Complete Assembly
 ;30;3069b;black;PART;Tile 1 x 2 with Groove
 ;15;3680;black;PART;Turntable 2 x 2 Plate, Base
 ;15;3680c02;black;PART;Turntable 2 x 2 Plate, Complete Assembly with Light Bluish Gray Top
 ;75;15392;D bluish gray;PART;Minifig, Weapon Trigger for Gun, Blaster Mini
x;15;3023;D bluish gray;PART;Plate 1 x 2
x;30;3021;D bluish gray;PART;Plate 2 x 3
 ;30;3004;L bluish gray;PART;Brick 1 x 2
 ;15;3679;L bluish gray;PART;Turntable 2 x 2 Plate, Top
x;105;4073;T-green;PART;Plate, Round 1 x 1 Straight Side
