 ;15;47905;red;PART;Brick, Modified 1 x 1 with Studs on 2 Sides
x;45;3024;red;PART;Plate 1 x 1
 ;15;3623;red;PART;Plate 1 x 3
 ;30;92280;red;PART;Plate, Modified 1 x 2 with Clip on Top
 ;30;3024;T-black;PART;Plate 1 x 1
x;30;54200;T-black;PART;Slope 30 1 x 1 x 2/3
 ;30;3070b;T-black;PART;Tile 1 x 1 with Groove
 ;15;52107;white;PART;Brick, Modified 1 x 2 with Studs on 2 Sides
 ;30;2540;white;PART;Plate, Modified 1 x 2 with Handle on Side - Free Ends
 ;30;50950;white;PART;Slope, Curved 3 x 1 No Studs
