x;30;32062;black;PART;Technic, Axle 2 Notched
 ;60;41677;black;PART;Technic, Liftarm 1 x 2 Thin
x;30;2780;black;PART;Technic, Pin with Friction Ridges Lengthwise WITH Center Slots
 ;15;30136;D brown;PART;Brick, Modified 1 x 2 Log
 ;15;3023;D brown;PART;Plate 1 x 2
 ;15;3004;D orange;PART;Brick 1 x 2
x;15;3022;D orange;PART;Plate 2 x 2
 ;15;3023;D tan;PART;Plate 1 x 2
 ;15;32184;L bluish gray;PART;Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole
x;30;3022;R brown;PART;Plate 2 x 2
 ;30;4286;R brown;PART;Slope 33 3 x 1
 ;30;3665;R brown;PART;Slope, Inverted 45 2 x 1
 ;15;3700;R brown;PART;Technic, Brick 1 x 2 with Hole
 ;15;3069b;T-yellow;PART;Tile 1 x 2 with Groove
