x;15;3710;D bluish gray;PART;Plate 1 x 4
x;15;3020;D bluish gray;PART;Plate 2 x 4
x;15;87580;D bluish gray;PART;Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)
x;45;4073;D bluish gray;PART;Plate, Round 1 x 1 Straight Side
 ;15;2436b;L bluish gray;PART;Bracket 1 x 2 - 1 x 4 with Rounded Corners
x;15;3623;L bluish gray;PART;Plate 1 x 3
 ;15;15573;L bluish gray;PART;"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;"
 ;15;11477;L bluish gray;PART;Slope, Curved 2 x 1 No Studs
 ;15;48183;L bluish gray;PART;Wedge, Plate 3 x 4 with Stud Notches
x;15;41770;L bluish gray;PART;Wedge, Plate 4 x 2 Left
x;15;41769;L bluish gray;PART;Wedge, Plate 4 x 2 Right
x;61;4073;T-L blue;PART;Plate, Round 1 x 1 Straight Side
