 ;15;15391;black;PART;Minifig, Weapon Gun, Blaster / Shooter Mini
x;30;3024;D bluish gray;PART;Plate 1 x 1
 ;15;4085d;D bluish gray;PART;Plate, Modified 1 x 1 with Clip Vertical - Type 4 (thick open O clip)
 ;15;3069bpc1;D bluish gray;PART;Tile 1 x 2 with Vehicle Control Panel Pattern
 ;15;99781;L bluish gray;PART;Bracket 1 x 2 - 1 x 2
 ;30;51739;L bluish gray;PART;Wedge, Plate 2 x 4
 ;15;4865b;T-L blue;PART;Panel 1 x 2 x 1 with Rounded Corners
 ;60;4073;T-neon orange;PART;Plate, Round 1 x 1 Straight Side
 ;15;2877;white;PART;Brick, Modified 1 x 2 with Grille (Grill)
x;15;3022;white;PART;Plate 2 x 2
