x;4;3022;black;PART;Plate 2 x 2
x;2;3020;black;PART;Plate 2 x 4
x;3;61252;black;PART;Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 ;1;15573;black;PART;Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40
x;4;92280;black;PART;Plate, Modified 1 x 2 with Clip on Top
 ;1;60478;black;PART;Plate, Modified 1 x 2 with Handle on End - Closed Ends
x;3;48336;black;PART;Plate, Modified 1 x 2 with Handle on Side - Closed Ends
 ;3;4032;black;PART;Plate, Round 2 x 2 with Axle Hole
 ;2;50950;black;PART;Slope, Curved 3 x 1 No Studs
 ;1;74698;black;PART;Tile, Round 2 x 2 with Lifting Ring Thick
x;1;3680;black;PART;Turntable 2 x 2 Plate, Base
x;1;4589b;D bluish gray;PART;Cone 1 x 1 with Top Groove
 ;2;14417;D bluish gray;PART;Plate, Modified 1 x 2 with Towball on Side
 ;2;30293;D bluish gray;PART;Rock Boulder, Top
x;2;54200;D bluish gray;PART;Slope 30 1 x 1 x 2/3
 ;4;98283;L bluish gray;PART;Brick, Modified 1 x 2 with Masonry Profile (Brick Profile)
 ;1;553c;L bluish gray;PART;Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation
x;2;14704;L bluish gray;PART;Plate, Modified 1 x 2 with Small Towball Socket on Side
x;1;3679;L bluish gray;PART;Turntable 2 x 2 Plate, Top
 ;1;41545-1;minifig;INSTRUCTION;Kramm
 ;1;3749;tan;PART;Technic, Axle Pin without Friction Ridges Lengthwise
x;2;4073;T-red;PART;Plate, Round 1 x 1 Straight Side
 ;1;3626cpb1112;white;PART;Minifig, Head with Large Black Eye with Pupil Pattern - Stud Recessed
x;2;15208;white;PART;Plate, Modified 1 x 2 with 3 Teeth &#40
x;2;6005;yellow;PART;Brick, Arch 1 x 3 x 2 Curved Top
 ;3;6091;yellow;PART;Brick, Modified 1 x 2 x 1 1/3 with Curved Top
 ;1;30414;yellow;PART;Brick, Modified 1 x 4 with 4 Studs on 1 Side
 ;2;3941;yellow;PART;Brick, Round 2 x 2 with Axle Hole
 ;1;3833;yellow;PART;Minifig, Headgear Helmet Construction
 ;3;3023;yellow;PART;Plate 1 x 2
x;2;3710;yellow;PART;Plate 1 x 4
 ;2;11477;yellow;PART;Slope, Curved 2 x 1 No Studs
 ;4;3700;yellow;PART;Technic, Brick 1 x 2 with Hole
 ;2;2412b;yellow;PART;Tile, Modified 1 x 2 Grille with Bottom Groove / Lip
