 ;1;30374;black;PART;Bar   4L &#40
 ;2;15303;black;PART;Bar   8L with Round End &#40
 ;1;x346;black;PART;Bionicle 1 x 3 Tooth with Axle Hole
x;2;4070;black;PART;Brick, Modified 1 x 1 with Headlight
 ;1;60583b;black;PART;Brick, Modified 1 x 1 x 3 with 2 Clips Vertical - Hollow Stud
 ;3;3062b;black;PART;Brick, Round 1 x 1 Open Stud
x;1;4740;black;PART;Dish 2 x 2 Inverted (Radar)
 ;2;60596;black;PART;Door Frame 1 x 4 x 6 Type 2
 ;1;4865b;black;PART;Panel 1 x 2 x 1 with Rounded Corners
x;3;3024;black;PART;Plate 1 x 1
 ;4;3623;black;PART;Plate 1 x 3
x;1;3710;black;PART;Plate 1 x 4
 ;2;3034;black;PART;Plate 2 x 8
x;1;4085d;black;PART;Plate, Modified 1 x 1 with Clip Vertical - Type 4 (thick open O clip)
x;2;92280;black;PART;Plate, Modified 1 x 2 with Clip on Top
x;2;60470b;black;PART;Plate, Modified 1 x 2 with Clips Horizontal (open O clips)
 ;2;2540;black;PART;Plate, Modified 1 x 2 with Handle on Side - Free Ends
x;9;4073;black;PART;Plate, Round 1 x 1 Straight Side
 ;1;x127c11;black;PART;String with End Studs 11L Overall
 ;1;53585;black;PART;Technic Ball Joint with Through Axle Hole
x;2;32062;black;PART;Technic, Axle 2 Notched
 ;1;3705;black;PART;Technic, Axle 4
 ;2;44;black;PART;Technic, Axle and Pin Connector Toggle Joint Smooth
 ;3;6541;black;PART;Technic, Brick 1 x 1 with Hole
 ;1;62462;black;PART;Technic, Pin Connector Round 2L with Slot &#40
x;2;2780;black;PART;Technic, Pin with Friction Ridges Lengthwise WITH Center Slots
 ;1;2460;black;PART;Tile, Modified 2 x 2 with Pin
 ;2;3795;blue;PART;Plate 2 x 6
 ;2;3034;blue;PART;Plate 2 x 8
x;1;43093;blue;PART;Technic, Axle Pin with Friction Ridges Lengthwise
 ;1;92950;D bluish gray;PART;Brick, Arch 1 x 6 Raised Arch
x;6;87087;D bluish gray;PART;Brick, Modified 1 x 1 with Stud on 1 Side
 ;1;30229;D bluish gray;PART;Minifig, Utensil Zip Line Handle
x;1;3022;D bluish gray;PART;Plate 2 x 2
 ;1;3031;D bluish gray;PART;Plate 4 x 4
 ;2;3794;D bluish gray;PART;Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)
 ;8;63868;D bluish gray;PART;Plate, Modified 1 x 2 with Clip Horizontal on End
x;1;92593;D bluish gray;PART;Plate, Modified 1 x 4 with 2 Studs
 ;2;3045;D bluish gray;PART;Slope 45 2 x 2 Double Convex
x;1;15301c01;D bluish gray;PART;Spring Shooter with Light Bluish Gray Top - Complete Assembly
 ;1;6553;D bluish gray;PART;Technic Pole Reverser Handle
 ;1;32013;D bluish gray;PART;Technic, Axle and Pin Connector Angled #1
 ;1;32530;D bluish gray;PART;Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)
 ;1;2555;D bluish gray;PART;Tile, Modified 1 x 1 with Clip
 ;2;14716;D brown;PART;Brick 1 x 1 x 3
 ;1;3659;D brown;PART;Brick, Arch 1 x 4
x;4;30136;D brown;PART;Brick, Modified 1 x 2 Log
 ;2;15068;D brown;PART;Slope, Curved 2 x 2 No Studs
 ;4;50950;D brown;PART;Slope, Curved 3 x 1 No Studs
 ;4;3665;D brown;PART;Slope, Inverted 45 2 x 1
 ;10;3005;D green;PART;Brick 1 x 1
 ;5;3004;D green;PART;Brick 1 x 2
 ;2;3021;D green;PART;Plate 2 x 3
 ;3;54384;D green;PART;Wedge, Plate 6 x 3 Left
 ;3;54383;D green;PART;Wedge, Plate 6 x 3 Right
 ;2;60594;D green;PART;Window 1 x 4 x 3 - No Shutter Tabs
 ;2;3062b;D red;PART;Brick, Round 1 x 1 Open Stud
 ;5;4589b;D red;PART;Cone 1 x 1 with Top Groove
 ;3;3665;D red;PART;Slope, Inverted 45 2 x 1
 ;1;43898;F silver;PART;Dish 3 x 3 Inverted (Radar)
x;2;3710;L bluish gray;PART;Plate 1 x 4
x;2;15573;L bluish gray;PART;Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40
x;2;32028;L bluish gray;PART;Plate, Modified 1 x 2 with Door Rail
x;3;2654;L bluish gray;PART;Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)
x;2;4697b;L bluish gray;PART;Pneumatic T Piece New Style (T Bar)
 ;2;3040;L bluish gray;PART;Slope 45 2 x 1
x;2;11477;L bluish gray;PART;Slope, Curved 2 x 1 No Studs
x;1;4265c;L bluish gray;PART;Technic Bush 1/2 Smooth
 ;2;4519;L bluish gray;PART;Technic, Axle 3
x;1;2736;L bluish gray;PART;Technic, Axle Towball
 ;2;32064;L bluish gray;PART;Technic, Brick 1 x 2 with Axle Hole
x;2;3673;L bluish gray;PART;Technic, Pin without Friction Ridges Lengthwise
 ;1;87079;L bluish gray;PART;Tile 2 x 4
x;2;60607;P gold;PART;Window 1 x 2 x 3 Pane Lattice with Thick Corner Tabs
 ;1;87994;R brown;PART;Bar   3L &#40
 ;5;2453b;R brown;PART;Brick 1 x 1 x 5 - Solid Stud
 ;3;3622;R brown;PART;Brick 1 x 3
 ;2;2357;R brown;PART;Brick 2 x 2 Corner
 ;4;2339;R brown;PART;Brick, Arch 1 x 5 x 4 - Continuous Bow
 ;6;30136;R brown;PART;Brick, Modified 1 x 2 Log
x;3;30137;R brown;PART;Brick, Modified 1 x 4 Log
x;7;3941;R brown;PART;Brick, Round 2 x 2 with Axle Hole
 ;1;15332;R brown;PART;Fence Spindled 1 x 4 x 2 with 4 Studs
x;1;4499;R brown;PART;Minifig, Weapon Bow with Arrow
 ;2;93231;R brown;PART;Minifig, Weapon Long Bow with Arrow
 ;9;3023;R brown;PART;Plate 1 x 2
x;4;3710;R brown;PART;Plate 1 x 4
 ;1;3666;R brown;PART;Plate 1 x 6
 ;1;3460;R brown;PART;Plate 1 x 8
 ;1;3020;R brown;PART;Plate 2 x 4
 ;3;3032;R brown;PART;Plate 4 x 6
 ;2;3035;R brown;PART;Plate 4 x 8
 ;1;3958;R brown;PART;Plate 6 x 6
x;10;4073;R brown;PART;Plate, Round 1 x 1 Straight Side
x;1;4032;R brown;PART;Plate, Round 2 x 2 with Axle Hole
x;7;54200;R brown;PART;Slope 30 1 x 1 x 2/3
x;4;85984;R brown;PART;Slope 30 1 x 2 x 2/3
 ;1;11477;R brown;PART;Slope, Curved 2 x 1 No Studs
 ;2;6538c;R brown;PART;Technic, Axle Connector (Smooth with x Hole + Orientation)
 ;2;32016;R brown;PART;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees
 ;3;3070b;R brown;PART;Tile 1 x 1 with Groove
 ;2;3069b;R brown;PART;Tile 1 x 2 with Groove
 ;1;2431;R brown;PART;Tile 1 x 4
 ;7;6636;R brown;PART;Tile 1 x 6
 ;2;2432;R brown;PART;Tile, Modified 1 x 2 with Handle
 ;2;4855;R brown;PART;Wedge 4 x 4 Triple Inverted
 ;2;48183;R brown;PART;Wedge, Plate 3 x 4 with Stud Notches
 ;2;2420;tan;PART;Plate 2 x 2 Corner
x;5;3020;tan;PART;Plate 2 x 4
 ;3;4073;T-orange;PART;Plate, Round 1 x 1 Straight Side
 ;1;3062b;T-yellow;PART;Brick, Round 1 x 1 Open Stud
 ;6;48336;white;PART;Plate, Modified 1 x 2 with Handle on Side - Closed Ends
x;5;54200;white;PART;Slope 30 1 x 1 x 2/3
x;2;85984;white;PART;Slope 30 1 x 2 x 2/3
 ;5;43722;white;PART;Wedge, Plate 3 x 2 Right
