 ;15;4595;black;PART;Brick, Modified 1 x 2 x 2/3 with Studs on Sides
 ;30;3023;black;PART;Plate 1 x 2
x;30;61409;D bluish gray;PART;Slope 18 2 x 1 x 2/3 with 4 Slots
 ;30;92946;D bluish gray;PART;Slope 45 2 x 1 with 2/3 Cutout
x;15;4070;L bluish gray;PART;Brick, Modified 1 x 1 with Headlight
 ;15;3960;L bluish gray;PART;Dish 4 x 4 Inverted (Radar)
 ;45;3024;L bluish gray;PART;Plate 1 x 1
x;15;3023;L bluish gray;PART;Plate 1 x 2
x;30;3710;L bluish gray;PART;Plate 1 x 4
 ;15;15573;L bluish gray;PART;"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;"
x;30;54200;L bluish gray;PART;Slope 30 1 x 1 x 2/3
 ;15;4589b;T-black;PART;Cone 1 x 1 with Top Groove
 ;60;3024;T-D blue;PART;Plate 1 x 1
