x;15;3023;D bluish gray;PART;Plate 1 x 2
 ;30;4085d;D bluish gray;PART;Plate, Modified 1 x 1 with Clip Vertical - Type 4 (thick open O clip)
 ;30;51739;D tan;PART;Wedge, Plate 2 x 4
 ;15;86208;L bluish gray;PART;Minifig, Utensil Space Gun / Torch - Without Grooves
 ;15;15279;olive green;PART;Plant Grass Stem
 ;15;4499;R brown;PART;Minifig, Weapon Bow with Arrow
x;60;4032;R brown;PART;Plate, Round 2 x 2 with Axle Hole
x;15;3022;tan;PART;Plate 2 x 2
 ;15;14769;tan;PART;Tile, Round 2 x 2 with Bottom Stud Holder
x;30;4073;T-L blue;PART;Plate, Round 1 x 1 Straight Side
