 ;1;44728;black;PART;Bracket 1 x 2 - 2 x 2
x;1;87087;black;PART;Brick, Modified 1 x 1 with Stud on 1 Side
 ;1;3710;black;PART;Plate 1 x 4
 ;1;3666;black;PART;Plate 1 x 6
x;4;61252;black;PART;Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
x;3;15573;black;PART;Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40
 ;2;60470b;black;PART;Plate, Modified 1 x 2 with Clips Horizontal (open O clips)
 ;2;3839b;black;PART;Plate, Modified 1 x 2 with Handles - Flat Ends, Low Attachment
 ;2;18649;black;PART;Plate, Modified 1 x 2 with Handles on Ends
 ;2;15456;black;PART;Plate, Modified 2 x 2 with Towball and Hole
 ;3;3298;black;PART;Slope 33 3 x 2
 ;1;4871;black;PART;Slope, Inverted 45 4 x 2 Double
x;1;3680;black;PART;Turntable 2 x 2 Plate, Base
 ;3;47905;D bluish gray;PART;Brick, Modified 1 x 1 with Studs on 2 Sides
x;1;99207;L bluish gray;PART;Bracket 1 x 2 - 2 x 2 Inverted
x;3;11476;L bluish gray;PART;Plate, Modified 1 x 2 with Clip Horizontal on Side
x;2;14704;L bluish gray;PART;Plate, Modified 1 x 2 with Small Towball Socket on Side
x;9;4073;L bluish gray;PART;Plate, Round 1 x 1 Straight Side
 ;2;14769pb027;L bluish gray;PART;Tile, Round 2 x 2 with Bottom Stud Holder with Eye and Eyelid Pattern
x;1;3679;L bluish gray;PART;Turntable 2 x 2 Plate, Top
 ;1;41547-1;minifig;INSTRUCTION;Wuzzo
 ;2;48336;P gold;PART;Plate, Modified 1 x 2 with Handle on Side - Closed Ends
 ;1;87580;P gold;PART;Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)
 ;1;52;P gold;PART;Rock 1 x 1 Crystal 5 Point
x;2;3070b;T-red;PART;Tile 1 x 1 with Groove
x;4;3023;white;PART;Plate 1 x 2
 ;1;14769pb079;white;PART;Tile, Round 2 x 2 with Bottom Stud Holder with Black Squinting Eyes, Moustache, Eyebrows and Grin with Sharp Teeth, &#40
 ;4;3022;yellow;PART;Plate 2 x 2
 ;3;60478;yellow;PART;Plate, Modified 1 x 2 with Handle on End - Closed Ends
 ;2;15068;yellow;PART;Slope, Curved 2 x 2 No Studs
 ;2;3747b;yellow;PART;Slope, Inverted 33 3 x 2 with Connections between Studs
x;4;2412b;yellow;PART;Tile, Modified 1 x 2 Grille with Bottom Groove / Lip
 ;1;2432;yellow;PART;Tile, Modified 1 x 2 with Handle
 ;1;41770;yellow;PART;Wedge, Plate 4 x 2 Left
 ;1;41769;yellow;PART;Wedge, Plate 4 x 2 Right
