 	7	3878	black	Minifig, Headgear Hat, Top Hat
 	7	90370pb03	black	Minifig, Utensil Microphone with Metallic Gold Top Half Screen Pattern
 	7	4529	black	Minifig, Utensil Saucepan
 	7	14733pb01	black	Penguin with Blue Eyes, Orange Beak and White Face and Breast Down Pattern
 	14	50949	black	Plate, Modified 1 x 2 with Racers Car Grille
 	28	4073	black	Plate, Round 1 x 1 Straight Side
 	14	3700	black	Technic, Brick 1 x 2 with Hole
 	7	3062b	blue	Brick, Round 1 x 1 Open Stud
 	7	33183	B green	Carrot Top
 	7	33291	B green	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	42	6231	B pink	Panel 1 x 1 x 1 Corner
 	14	4865b	B pink	Panel 1 x 2 x 1 with Rounded Corners
 	7	93095	B pink	Panel 1 x 2 x 1 with Rounded Corners and Center Divider
 	7	3023	B pink	Plate 1 x 2
 	35	4073	B pink	Plate, Round 1 x 1 Straight Side
 	7	15470	B pink	Plate, Round 1 x 1 with Swirled Top
 	14	3040	B pink	Slope 45 2 x 1
 	7	3068b	B pink	Tile 2 x 2 with Groove
 	7	88289	D brown	Plate, Modified 1 x 4 with Pin Hole and Bucket (Catapult)
 	7	3659	D orange	Brick, Arch 1 x 4
 	14	87087	D orange	Brick, Modified 1 x 1 with Stud on 1 Side
 	35	30136	D orange	Brick, Modified 1 x 2 Log
 	28	3710	D orange	Plate 1 x 4
 	7	3020	D orange	Plate 2 x 4
 	14	3040	D orange	Slope 45 2 x 1
 	7	4495	D pink	Flag 4 x 1 Wave
 	35	33291	D pink	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	14	90509	D purple	Minifig, Utensil Ski 6L
 	14	93555	F silver	Minifig, Footgear Ice Skate
 	7	98138	F silver	Tile, Round 1 x 1
 	7	3062b	green	Brick, Round 1 x 1 Open Stud
 	7	93558	green	Minifig, Headgear Slouch Hat, Gnome
 	7	2423	green	Plant Leaves 4 x 3
 	14	4286	green	Slope 33 3 x 1
 	14	3040	green	Slope 45 2 x 1
 	7	3688	green	Slope 75 2 x 2 x 2 Quadruple Convex
 	7	3069bpx7	green	Tile 1 x 2 with 100 Dollar Bill Money Pattern
 	7	11618	lavender	Friends Accessories Hair Decoration, Bow with Heart, Long Ribbon and Pin
 	7	88930	lavender	Slope, Curved 2 x 4 x 2/3 No Studs with Bottom Tubes
 	7	3957b	L bluish gray	Antenna 1 x 4 - Flat Top
 	7	48729b	L bluish gray	Bar   1L with Clip Mechanical Claw, Cut Edges and Hole on One Side
 	7	3005	L bluish gray	Brick 1 x 1
 	7	30241b	L bluish gray	Brick, Modified 1 x 1 with Clip Vertical (open O clip) - Hollow Stud
 	7	3062b	L bluish gray	Brick, Round 1 x 1 Open Stud
 	7	4589b	L bluish gray	Cone 1 x 1 with Top Groove
 	7	4740	L bluish gray	Dish 2 x 2 Inverted (Radar)
 	7	92582	L bluish gray	Hinge Plate 2 x 2 Locking with 1 Finger on Top
 	21	3023	L bluish gray	Plate 1 x 2
 	7	4073	L bluish gray	Plate, Round 1 x 1 Straight Side
 	7	3673	L bluish gray	Technic, Pin without Friction Ridges Lengthwise
 	7	2432	L bluish gray	Tile, Modified 1 x 2 with Handle
 	7	3003	lime	Brick 2 x 2
 	7	2431	lime	Tile 1 x 4
 	7	30171	magenta	Minifig, Headgear Cap, Aviator
 	7	15573	magenta	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;
 	14	87580	magenta	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)
 	28	33291	magenta	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	7	93080d	M azure	Friends Accessories Comb with Handle and 3 Hearts
 	7	93080k	M azure	Friends Accessories Glasses, Heart Shaped with Pin
 	7	93080l	M azure	Friends Accessories Glasses, Oval Shaped with Pin
 	7	93080a	M azure	Friends Accessories Hair Brush with Heart on Reverse
 	21	93080j	M azure	Friends Accessories Hair Decoration, Bow with Pin
 	14	93080i	M azure	Friends Accessories Hair Decoration, Butterfly with Pin
 	14	93080h	M azure	Friends Accessories Hair Decoration, Flower with Serrated Petals and Pin
 	14	93080g	M azure	Friends Accessories Hair Decoration, Flower with Smooth Petals and Pin
 	14	93080e	M azure	Friends Accessories Hair Decoration, Heart with Pin
 	14	93080f	M azure	Friends Accessories Hair Decoration, Star with Pin
 	7	93080m	M azure	Friends Accessories Hair Decoration, Tiara with 5 Points and Pin
 	7	93080c	M azure	Friends Accessories Hair Dryer
 	7	93080b	M azure	Friends Accessories Hand Mirror with Heart on Reverse
 	14	90540	M azure	Minifig, Utensil Ski Pole 3L with Handle, Stop Ring and Side Stops
 	28	2431	M azure	Tile 1 x 4
 	7	3068b	M azure	Tile 2 x 2 with Groove
 	28	98283	M D flesh	Brick, Modified 1 x 2 with Masonry Profile (Brick Profile)
 	14	3004	M lavender	Brick 1 x 2
 	7	3001	M lavender	Brick 2 x 4
 	14	3023	M lavender	Plate 1 x 2
 	7	85984	M lavender	Slope 30 1 x 2 x 2/3
 	7	frnd133	minifig	Friends Andrea, Red Skirt and Boots, Dark Blue Sweater Top
 	7	frnd134	minifig	Friends Liza, White Riding Pants, Magenta Top and White Jacket with Bow
 	7	33172	orange	Carrot (Club)
 	7	33172c01	orange	Carrot with Bright Green Top, Complete Assembly
 	7	11609	P gold	Friends Accessories Star with Stud Holder
 	7	33322	P gold	Minifig, Crown Tiara
 	7	13808	P gold	Minifig, Utensil Saxophone
 	7	3062b	red	Brick, Round 1 x 1 Open Stud
 	35	33291	red	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	7	32530	red	Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)
 	7	3941	R brown	Brick, Round 2 x 2 with Axle Hole
 	14	33183	R brown	Carrot Top
 	7	3626c	R brown	Minifig, Head (Plain) - Stud Recessed
 	14	3022	R brown	Plate 2 x 2
 	7	4073	R brown	Plate, Round 1 x 1 Straight Side
 	7	15470	R brown	Plate, Round 1 x 1 with Swirled Top
 	28	4032	R brown	Plate, Round 2 x 2 with Axle Hole
 	14	30136	tan	Brick, Modified 1 x 2 Log
 	7	11211	tan	Brick, Modified 1 x 2 with Studs on 1 Side
 	14	3710	tan	Plate 1 x 4
 	7	3021	tan	Plate 2 x 3
 	7	3020	tan	Plate 2 x 4
 	14	3795	tan	Plate 2 x 6
 	14	4073	tan	Plate, Round 1 x 1 Straight Side
 	14	3665	tan	Slope, Inverted 45 2 x 1
 	7	4346	T-clear	Container, Box 2 x 2 x 2 Door with Slot
 	7	3899	T-clear	Minifig, Utensil Cup
 	7	98138	T-D blue	Tile, Round 1 x 1
 	14	3899	T-D pink	Minifig, Utensil Cup
 	7	6124	T-D pink	Minifig, Utensil Magic Wand
 	14	4073	T-green	Plate, Round 1 x 1 Straight Side
 	7	98138	T-green	Tile, Round 1 x 1
 	21	98138	T-L blue	Tile, Round 1 x 1
 	7	64647	T-orange	Minifig, Plume Feather Triple Compact / Flame / Water
 	14	4073	T-red	Plate, Round 1 x 1 Straight Side
 	7	98138	T-red	Tile, Round 1 x 1
 	14	4073	T-yellow	Plate, Round 1 x 1 Straight Side
 	7	3005	white	Brick 1 x 1
 	7	4733	white	Brick, Modified 1 x 1 with Studs on 4 Sides
 	21	3062b	white	Brick, Round 1 x 1 Open Stud
 	7	553c	white	Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation
 	7	18852pb01	white	Bunny Rabbit Baby Sitting with Black Eyes and Black Nose Pattern
