 	4	2357	black	Brick 2 x 2 Corner
 	4	4070	black	Brick, Modified 1 x 1 with Headlight
 	4	87087	black	Brick, Modified 1 x 1 with Stud on 1 Side
 	5	2877	black	Brick, Modified 1 x 2 with Grille (Grill)
 	3	2653	black	Brick, Modified 1 x 4 with Groove
 	2	6134	black	Hinge Brick 2 x 2 Top Plate Thin
 	1	30381	black	Minifig, Headgear Hood
 	2	60849	black	Minifig, Utensil Hose Nozzle Elaborate
 	1	58247	black	Minifig, Weapon Gun, Blaster Short (SW)
 	2	92738	black	Minifig, Weapon Gun, Blaster Small (SW)
 	1	93095	black	Panel 1 x 2 x 1 with Rounded Corners and Center Divider
 	4	60479	black	Plate 1 x 12
 	3	3460	black	Plate 1 x 8
 	4	3022	black	Plate 2 x 2
 	2	2420	black	Plate 2 x 2 Corner
 	1	3020	black	Plate 2 x 4
 	1	61252	black	Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 	2	4085d	black	Plate, Modified 1 x 1 with Clip Vertical - Type 4 (thick open O clip)
 	4	88072	black	Plate, Modified 1 x 2 with Arm Up (Horizontal Arm Length 5mm)
 	12	63868	black	Plate, Modified 1 x 2 with Clip Horizontal on End
 	2	92280	black	Plate, Modified 1 x 2 with Clip on Top
 	2	32028	black	Plate, Modified 1 x 2 with Door Rail
 	4	48336	black	Plate, Modified 1 x 2 with Handle on Side - Closed Ends
 	1	87609	black	Plate, Modified 2 x 6 x 2/3 with 4 Studs on Side
 	1	92099	black	Plate, Modified 4 x 6 with Trap Door Hinge (Long Pins)
 	16	2654	black	Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)
 	2	61409	black	Slope 18 2 x 1 x 2/3 with 4 Slots
 	2	54200	black	Slope 30 1 x 1 x 2/3
 	3	85984	black	Slope 30 1 x 2 x 2/3
 	2	13547	black	Slope, Curved 4 x 1 Inverted
 	2	3708	black	Technic, Axle 12
 	4	32062	black	Technic, Axle 2 Notched
 	4	3706	black	Technic, Axle 6
 	2	32013	black	Technic, Axle and Pin Connector Angled #1
 	8	3702	black	Technic, Brick 1 x 8 with Holes
 	2	32555	black	Technic, Brick 5 x 5 Right Angle (1 x 4 - 1 x 4)
 	4	40345	black	Technic, Brick 6 x 8 Open Center
 	4	32009	black	Technic, Liftarm 1 x 11.5 Double Bent Thick
