 	3	87580	R brown	PART	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)
 	6	4032	R brown	PART	Plate, Round 2 x 2 with Axle Hole
x	3	3040	R brown	PART	Slope 45 2 x 1
 	3	60594	R brown	PART	Window 1 x 4 x 3 - No Shutter Tabs
 	6	3004	tan	PART	Brick 1 x 2
 	3	11211	tan	PART	Brick, Modified 1 x 2 with Studs on 1 Side
 	6	6091	tan	PART	Brick, Modified 1 x 2 x 1 1/3 with Curved Top
 	3	3022	tan	PART	Plate 2 x 2
 	6	4073	tan	PART	Plate, Round 1 x 1 Straight Side
 	3	30151b	T-clear	PART	Brick, Round 2 x 2 x 1 2/3 Dome Top - Hollow Stud
 	3	4346	T-clear	PART	Container, Box 2 x 2 x 2 Door with Slot
 	6	2343	T-clear	PART	Minifig, Utensil Goblet
x	12	4073	T-clear	PART	Plate, Round 1 x 1 Straight Side
 	6	3899	T-D pink	PART	Minifig, Utensil Cup
 	18	4073	T-D pink	PART	Plate, Round 1 x 1 Straight Side
 	3	15745	T-D pink	PART	Rock 1 x 1 Jewel Heart Shaped
 	6	64647	T-orange	PART	Minifig, Plume Feather Triple Compact / Flame / Water
 	3	4589b	T-yellow	PART	Cone 1 x 1 with Top Groove
 	3	4073	T-yellow	PART	Plate, Round 1 x 1 Straight Side
x	6	3005	white	PART	Brick 1 x 1
 	15	3004	white	PART	Brick 1 x 2
x	3	87087	white	PART	Brick, Modified 1 x 1 with Stud on 1 Side
 	3	3062b	white	PART	Brick, Round 1 x 1 Open Stud
x	3	553c	white	PART	Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation
 	3	11602pb02	white	PART	Cat Sitting with Medium Azure Eyes and Collar and Light Bluish Gray Markings Pattern
x	6	4589b	white	PART	Cone 1 x 1 with Top Groove
 	3	4345	white	PART	Container, Box 2 x 2 x 2
 	3	4532	white	PART	Container, Cupboard 2 x 3 x 2
 	6	4536	white	PART	Container, Cupboard 2 x 3 x X Drawer
 	6	6231	white	PART	Panel 1 x 1 x 1 Corner
 	6	4865b	white	PART	Panel 1 x 2 x 1 with Rounded Corners
 	3	3023	white	PART	Plate 1 x 2
 	9	3710	white	PART	Plate 1 x 4
 	3	3020	white	PART	Plate 2 x 4
 	3	3794	white	PART	Plate, Modified 1 x 2 with 1 Stud (Jumper)
x	3	15573	white	PART	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;
 	3	4073	white	PART	Plate, Round 1 x 1 Straight Side
 	6	60474	white	PART	Plate, Round 4 x 4 with Hole
 	3	3037	white	PART	Slope 45 2 x 4
 	3	3665	white	PART	Slope, Inverted 45 2 x 1
 	6	3700	white	PART	Technic, Brick 1 x 2 with Hole
 	3	98138	white	PART	Tile, Round 1 x 1
 	3	3710	yellow	PART	Plate 1 x 4
 	3	54200	yellow	PART	Slope 30 1 x 1 x 2/3
