 	150	6231	black	Panel 1 x 1 x 1 Corner
 	75	6019	black	Plate, Modified 1 x 1 with Clip Horizontal &#40;thick open U clip&#41;
 	225	2817	black	Plate, Modified 2 x 2 with Pin Holes
 	150	3706	black	Technic, Axle 6
 	150	32530	black	Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)
 	75	3034	L bluish gray	Plate 2 x 8
 	150	3794	L bluish gray	Plate, Modified 1 x 2 with 1 Stud (Jumper)
 	75	3039	L bluish gray	Slope 45 2 x 2
 	75	32556	L bluish gray	Technic, Pin 3L without Friction Ridges Lengthwise
 	75	3673	L bluish gray	Technic, Pin without Friction Ridges Lengthwise
 	75	48492	M blue	Horse Battle Helmet, Angular
 	75	5994-1	minifig	Catapult polybag
 	75	48723	R brown	Technic, Axle Connector Hub with 4 Bars
 	300	47576	R brown	Wheel Hockey Puck, Small
 	300	3062b	tan	Brick, Round 1 x 1 Open Stud
 	75	3032	white	Plate 4 x 6
