 	4	3022	black	Plate 2 x 2
 	2	3020	black	Plate 2 x 4
 	3	61252	black	Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 	1	15573	black	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;
 	4	92280	black	Plate, Modified 1 x 2 with Clip on Top
 	1	60478	black	Plate, Modified 1 x 2 with Handle on End - Closed Ends
 	3	48336	black	Plate, Modified 1 x 2 with Handle on Side - Closed Ends
 	3	4032	black	Plate, Round 2 x 2 with Axle Hole
 	2	50950	black	Slope, Curved 3 x 1 No Studs
 	1	74698	black	Tile, Round 2 x 2 with Lifting Ring Thick
 	1	3680	black	Turntable 2 x 2 Plate, Base
 	1	3680c02	black	Turntable 2 x 2 Plate, Complete Assembly with Light Bluish Gray Top
 	1	4589b	D bluish gray	Cone 1 x 1 with Top Groove
 	2	14417	D bluish gray	Plate, Modified 1 x 2 with Towball on Side
 	2	30293	D bluish gray	Rock Boulder, Top
 	2	54200	D bluish gray	Slope 30 1 x 1 x 2/3
 	4	98283	L bluish gray	Brick, Modified 1 x 2 with Masonry Profile (Brick Profile)
 	1	553c	L bluish gray	Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation
 	2	14704	L bluish gray	Plate, Modified 1 x 2 with Small Towball Socket on Side
 	1	3679	L bluish gray	Turntable 2 x 2 Plate, Top
 	1	41545-1	minifig	Kramm
 	1	3749	tan	Technic, Axle Pin without Friction Ridges Lengthwise
 	2	4073	T-red	Plate, Round 1 x 1 Straight Side
 	1	3626cpb1112	white	Minifig, Head with Large Black Eye with Pupil Pattern - Stud Recessed
 	2	15208	white	Plate, Modified 1 x 2 with 3 Teeth &#40;Claws&#41;
 	2	6005	yellow	Brick, Arch 1 x 3 x 2 Curved Top
 	3	6091	yellow	Brick, Modified 1 x 2 x 1 1/3 with Curved Top
 	1	30414	yellow	Brick, Modified 1 x 4 with 4 Studs on 1 Side
 	2	3941	yellow	Brick, Round 2 x 2 with Axle Hole
 	1	3833	yellow	Minifig, Headgear Helmet Construction
 	3	3023	yellow	Plate 1 x 2
 	2	3710	yellow	Plate 1 x 4
 	2	11477	yellow	Slope, Curved 2 x 1 No Studs
 	4	3700	yellow	Technic, Brick 1 x 2 with Hole
 	2	2412b	yellow	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip
