 	1	99207	black	Bracket 1 x 2 - 2 x 2 Inverted
 	2	10830c01	black	Minifig, Utensil Magnifying Glass Thick Frame and Solid Handle with Trans-Clear Lens
 	2	61252	black	Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 	2	15456	black	Plate, Modified 2 x 2 with Towball and Hole
 	3	14417	D bluish gray	Plate, Modified 1 x 2 with Towball on Side
 	2	4070	green	Brick, Modified 1 x 1 with Headlight
 	3	3021	green	Plate 2 x 3
 	2	3039	green	Slope 45 2 x 2
 	2	50950	green	Slope, Curved 3 x 1 No Studs
 	2	14418	L bluish gray	Plate, Modified 1 x 2 with Small Towball Socket on End
 	3	14704	L bluish gray	Plate, Modified 1 x 2 with Small Towball Socket on Side
 	1	99207	lime	Bracket 1 x 2 - 2 x 2 Inverted
 	2	3003	lime	Brick 2 x 2
 	4	87087	lime	Brick, Modified 1 x 1 with Stud on 1 Side
 	3	3023	lime	Plate 1 x 2
 	3	3022	lime	Plate 2 x 2
 	6	11477	lime	Slope, Curved 2 x 1 No Studs
 	1	4871	lime	Slope, Inverted 45 4 x 2 Double
 	1	41548-1	minifig	Dribbal
 	3	4073	T-neon green	Plate, Round 1 x 1 Straight Side
 	1	52	T-neon green	Rock 1 x 1 Crystal 5 Point
 	2	3626cpb1112	white	Minifig, Head with Large Black Eye with Pupil Pattern - Stud Recessed
 	1	4032	white	Plate, Round 2 x 2 with Axle Hole
 	1	15209	white	Tile, Modified 1 x 2 with 2 Teeth Vertical
