 	3	4589b	black	Cone 1 x 1 with Top Groove
 	3	4740	black	Dish 2 x 2 Inverted (Radar)
 	3	30089b	black	Minifig, Utensil Camera Handheld Style - Type 2
 	3	4529	black	Minifig, Utensil Saucepan
 	21	4073	black	Plate, Round 1 x 1 Straight Side
 	12	33291	B green	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	9	93082g	B L orange	Friends Accessories Cupcake Holder
 	9	93082i	B L orange	Friends Accessories Cutlery Fork
 	9	93082h	B L orange	Friends Accessories Cutlery Knife
 	3	93082c	B L orange	Friends Accessories Dish, Rectangular
 	9	93082f	B L orange	Friends Accessories Dish, Round
 	3	93082a	B L orange	Friends Accessories Frying Pan
 	3	93082d	B L orange	Friends Accessories Hand Mixer
 	3	93082b	B L orange	Friends Accessories Measuring Jug
 	3	93082e	B L orange	Friends Accessories Spatula with Holes
 	3	11609	B L orange	Friends Accessories Star with Stud Holder
 	3	33291	B L orange	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	12	6231	B pink	Panel 1 x 1 x 1 Corner
 	6	4865b	B pink	Panel 1 x 2 x 1 with Rounded Corners
 	3	93095	B pink	Panel 1 x 2 x 1 with Rounded Corners and Center Divider
 	6	3710	B pink	Plate 1 x 4
 	6	4073	B pink	Plate, Round 1 x 1 Straight Side
 	6	3069b	B pink	Tile 1 x 2 with Groove
 	9	3068b	B pink	Tile 2 x 2 with Groove
 	6	4073	D bluish gray	Plate, Round 1 x 1 Straight Side
 	3	3040	D bluish gray	Slope 45 2 x 1
 	3	3068b	D bluish gray	Tile 2 x 2 with Groove
 	3	4032	D brown	Plate, Round 2 x 2 with Axle Hole
 	3	11609	D orange	Friends Accessories Star with Stud Holder
 	6	3022	D orange	Plate 2 x 2
 	6	33057	D orange	Turkey Drumstick, Short
 	15	33291	D pink	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	6	3623	D purple	Plate 1 x 3
 	9	3021	D purple	Plate 2 x 3
 	12	93555	F silver	Minifig, Footgear Ice Skate
 	3	2423	green	Plant Leaves 4 x 3
 	6	3024	green	Plate 1 x 1
 	6	4032	green	Plate, Round 2 x 2 with Axle Hole
 	12	4286	green	Slope 33 3 x 1
 	12	3040	green	Slope 45 2 x 1
 	6	3688	green	Slope 75 2 x 2 x 2 Quadruple Convex
 	3	44728	L bluish gray	Bracket 1 x 2 - 2 x 2
 	9	87087	L bluish gray	Brick, Modified 1 x 1 with Stud on 1 Side
 	6	3665	L bluish gray	Slope, Inverted 45 2 x 1
 	3	4599b	L bluish gray	Tap 1 x 1 without Hole in End
 	3	3022	lime	Plate 2 x 2
 	6	3020	lime	Plate 2 x 4
