 	3	99780	black	PART	Bracket 1 x 2 - 1 x 2 Inverted
 	1	3023	black	PART	Plate 1 x 2
 	1	3022	black	PART	Plate 2 x 2
 	2	60478	black	PART	Plate, Modified 1 x 2 with Handle on End - Closed Ends
 	2	15456	black	PART	Plate, Modified 2 x 2 with Towball and Hole
 	1	99206	black	PART	Plate, Modified 2 x 2 x 2/3 with 2 Studs on Side
 	1	4073	blue	PART	Plate, Round 1 x 1 Straight Side
 	2	33291	B L orange	PART	Plate, Round 1 x 1 with Flower Edge (4 Knobs)
 	2	4081b	D bluish gray	PART	Plate, Modified 1 x 1 with Clip Light - Thick Ring
 	1	14419	D bluish gray	PART	Plate, Modified 1 x 2 with Towball and Small Towball Socket on Ends
 	1	14417	D bluish gray	PART	Plate, Modified 1 x 2 with Towball on Side
 	1	47457	D purple	PART	Brick, Modified 2 x 2 x 2/3 Two Studs, Curved Slope End
 	2	86500	D purple	PART	Cylinder Hemisphere 4 x 4
 	2	4032	D purple	PART	Plate, Round 2 x 2 with Axle Hole
 	2	54200	D purple	PART	Slope 30 1 x 1 x 2/3
 	2	11477	D purple	PART	Slope, Curved 2 x 1 No Studs
 	2	11476	L bluish gray	PART	Plate, Modified 1 x 2 with Clip Horizontal on Side
 	3	14704	L bluish gray	PART	Plate, Modified 1 x 2 with Small Towball Socket on Side
 	1	4073	lime	PART	Plate, Round 1 x 1 Straight Side
 	3	99781	M lavender	PART	Bracket 1 x 2 - 1 x 2
 	3	3004	M lavender	PART	Brick 1 x 2
 	2	11833	M lavender	PART	Plate, Round 4 x 4 with 2 x 2 Hole
 	3	3039	M lavender	PART	Slope 45 2 x 2
 	1	14769	M lavender	PART	Tile, Round 2 x 2 with Bottom Stud Holder
 	1	41551-1	minifig	INSTRUCTION	Snax
 	2	15070	white	PART	Plate, Modified 1 x 1 with Tooth Vertical
 	3	15209	white	PART	Tile, Modified 1 x 2 with 2 Teeth Vertical
 	2	98138pb007	white	PART	Tile, Round 1 x 1 with Black Eye with Pupil Pattern
