 	150	6231	black	PART	Panel 1 x 1 x 1 Corner
 	75	6019	black	PART	Plate, Modified 1 x 1 with Clip Horizontal &#40;thick open U clip&#41;
 	225	2817	black	PART	Plate, Modified 2 x 2 with Pin Holes
 	150	3706	black	PART	Technic, Axle 6
 	150	32530	black	PART	Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)
 	75	3034	L bluish gray	PART	Plate 2 x 8
 	150	3794	L bluish gray	PART	Plate, Modified 1 x 2 with 1 Stud (Jumper)
 	75	3039	L bluish gray	PART	Slope 45 2 x 2
 	75	32556	L bluish gray	PART	Technic, Pin 3L without Friction Ridges Lengthwise
 	75	3673	L bluish gray	PART	Technic, Pin without Friction Ridges Lengthwise
 	75	48492	M blue	PART	Horse Battle Helmet, Angular
 	75	5994-1	minifig	INSTRUCTION	Catapult polybag
 	75	48723	R brown	PART	Technic, Axle Connector Hub with 4 Bars
 	300	47576	R brown	PART	Wheel Hockey Puck, Small
 	300	3062b	tan	PART	Brick, Round 1 x 1 Open Stud
 	75	3032	white	PART	Plate 4 x 6
